City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,berdigestyakh,62.0989,126.6992,18.58,55,94,3.88,RU,1718929545
83,ilulissat,69.2167,-51.1,6.01,75,10,1.54,GL,1718929547
84,vorkuta,67.5,64.0,6.1,73,58,2.43,RU,1718929340
85,hermanus,-34.4187,19.2345,11.0,58,100,2.52,ZA,1718929549
86,colonia,50.9333,6.95,17.5,89,20,0.51,DE,1718929550
87,ust-nera,64.5667,143.2,24.25,37,95,2.4,RU,1718929405
88,ipojuca,-8.3989,-35.0639,26.95,89,43,2.51,BR,1718929554
89,maracaju,-21.6144,-55.1683,23.41,30,14,1.8,BR,1718929555
90,sydney mines,46.2367,-60.2177,23.84,80,75,4.12,CA,1718929556
91,luderitz,-26.6481,15.1594,12.75,76,17,0.17,NA,1718929559
92,iwade,34.25,135.3167,19.89,97,100,2.71,JP,1718929560
93,ust'-kulom,61.6864,53.6902,13.64,98,73,1.79,RU,1718929561
94,aykhal,66.0,111.5,8.66,88,100,2.93,RU,1718929563
95,thunder bay,48.4001,-89.3168,18.95,48,40,3.6,CA,1718929564
96,kaohsiung,22.6163,120.3133,30.75,82,75,3.6,TW,1718929565
97,biswan,27.5,81.0,32.37,47,100,2.58,IN,1718929566
98,saipan,15.1355,145.701,31.39,79,40,6.17,MP,1718929567
99,dudinka,69.4058,86.1778,3.04,71,51,2.61,RU,1718929569
100,malango,-2.9627,119.9001,20.79,85,85,0.27,ID,1718929570
101,olonkinbyen,70.9221,-8.7187,0.4,97,99,2.3,SJ,1718929571
102,whitehorse,60.7161,-135.0538,23.76,21,75,5.66,CA,1718929572
103,ghadamis,30.1337,9.5007,30.43,16,0,5.41,LY,1718929574
104,iskateley,67.6803,53.1512,8.16,75,100,4.15,RU,1718929575
105,sao joao da barra,-21.6403,-41.0511,22.05,86,1,4.0,BR,1718929576
106,pontotoc,34.2479,-88.9987,31.19,63,98,2.48,US,1718929577
107,punta del este,-34.9667,-54.95,12.6,92,75,5.81,UY,1718929407
108,ancud,-41.8697,-73.8203,10.25,83,100,10.76,CL,1718929580
109,isafjordur,66.0755,-23.124,4.22,84,100,2.67,IS,1718929581
110,djibo,14.1022,-1.6306,34.5,37,99,5.94,BF,1718929582
111,kamikawa,43.84,142.7711,16.15,93,99,0.85,JP,1718929583
112,awjilah,29.1081,21.2869,28.74,31,0,6.77,LY,1718929585
113,fort mcmurray,56.7268,-111.381,24.73,22,75,1.54,CA,1718929299
114,pacific grove,36.6177,-121.9166,12.85,86,100,5.14,US,1718929493
115,tual,-5.6667,132.75,26.32,79,61,9.54,ID,1718929588
116,nagqu,31.5,92.0,5.66,86,52,2.06,CN,1718929589
117,noshiro,40.2039,140.0242,21.46,49,100,1.75,JP,1718929591
118,fada,9.5667,8.3,19.76,96,100,0.53,NG,1718929592
119,lensk,60.7253,114.9278,14.44,79,100,2.59,RU,1718929593
120,sitka,57.0531,-135.33,11.94,76,100,3.09,US,1718929331
121,callao,-12.0667,-77.15,17.16,82,75,4.63,PE,1718929595
122,bredasdorp,-34.5322,20.0403,13.18,54,100,3.14,ZA,1718929597
123,avarua,-21.2078,-159.775,27.03,69,75,5.66,CK,1718929598
124,bandon,51.7469,-8.7425,12.77,97,57,4.88,IE,1718929599
125,alta,69.9689,23.2717,8.44,87,100,0.0,NO,1718929600
126,mandalgovi,45.7625,106.2708,4.99,85,36,14.73,MN,1718929601
127,rehoboth,-23.3167,17.0833,12.51,29,0,2.85,NA,1718929603
128,baker city,44.7749,-117.8344,29.63,19,0,2.06,US,1718929070
129,haiku-pauwela,20.9219,-156.3051,27.11,65,20,12.86,US,1718929605
130,kavieng,-2.5744,150.7967,28.98,70,76,3.51,PG,1718929606
131,susuman,62.7833,148.1667,22.18,39,81,0.93,RU,1718929607
132,kinmparana,12.8402,-4.9199,29.49,51,40,6.03,ML,1718929609
133,blackmans bay,-43.0167,147.3167,9.45,85,90,1.34,AU,1718929610
134,mochudi,-24.4167,26.15,16.33,60,1,3.91,BW,1718929611
135,bussoleno,45.1403,7.1464,18.84,89,97,0.89,IT,1718929612
136,polyarnyy,69.1989,33.4478,7.26,98,100,4.87,RU,1718929614
137,roma,43.2128,-75.4557,27.56,60,0,4.12,US,1718929615
138,inza,53.8533,46.3586,16.67,95,1,2.08,RU,1718929616
139,new norfolk,-42.7826,147.0587,9.16,72,99,0.63,AU,1718929617
140,waitara,-38.925,174.25,11.11,59,84,4.19,NZ,1718929618
141,kapuskasing,49.4169,-82.4331,20.0,60,75,2.57,CA,1718929620
142,mukalla,14.5425,49.1242,29.85,75,89,3.81,YE,1718929621
143,grand island,40.925,-98.342,30.16,56,40,6.69,US,1718929435
144,lebu,-37.6167,-73.65,11.4,89,100,11.3,CL,1718929623
145,manali,13.1667,80.2667,27.19,84,99,1.79,IN,1718929625
146,peniche,39.3558,-9.3811,15.79,85,59,8.34,PT,1718929626
147,lompoc,34.6391,-120.4579,15.65,76,75,7.2,US,1718929627
148,newman,37.3138,-121.0208,32.09,11,53,2.74,US,1718929628
149,dunedin,-45.8742,170.5036,11.0,70,64,4.92,NZ,1718929629
150,mossel bay,-34.1831,22.146,16.71,52,100,4.1,ZA,1718929632
151,namibe,-15.1961,12.1522,18.95,75,4,2.91,AO,1718929633
152,stanley,54.868,-1.6985,11.21,88,0,2.06,GB,1718929634
153,urengoy,65.9667,78.3667,1.96,87,100,3.22,RU,1718929636
154,chinde,26.8418,88.0763,18.99,87,93,1.79,NP,1718929637
155,cole harbour,44.6724,-63.4751,26.72,70,75,3.6,CA,1718929638
156,piqua,40.1448,-84.2424,30.35,70,80,1.93,US,1718929639
157,porto empedocle,37.2934,13.5264,26.51,42,0,1.7,IT,1718929642
158,toliara,-23.35,43.6667,20.4,78,19,3.38,MG,1718929643
159,mahibadhoo,3.7833,72.9667,28.86,74,97,6.09,MV,1718929644
160,broome,42.2506,-75.833,25.43,88,0,2.06,US,1718929436
161,viqueque,-8.8673,126.3658,24.57,86,99,2.51,TL,1718929646
162,westport,41.1415,-73.3579,25.76,72,0,2.57,US,1718929648
163,nar'yan-mar,67.6713,53.087,8.09,76,100,4.21,RU,1718929649
164,lagoa,39.05,-27.9833,19.57,65,100,2.68,PT,1718929650
165,yung shue wan,22.2333,114.1167,30.8,80,93,2.96,HK,1718929651
166,saint-philippe,-21.3585,55.7679,20.77,77,88,6.5,RE,1718929655
167,burang,30.25,81.1667,5.66,71,72,1.2,CN,1718929656
168,morehead city,34.7229,-76.726,25.95,72,40,2.57,US,1718929657
169,la passe,45.5549,-0.8967,17.13,94,99,2.36,FR,1718929659
170,majholi,23.5,79.9167,26.76,79,100,1.62,IN,1718929661
171,tazovsky,67.4667,78.7,0.16,82,44,2.74,RU,1718929662
172,atafu village,-8.5421,-172.5159,28.85,76,49,2.81,TK,1718929664
173,chinhoyi,-17.3667,30.2,14.15,56,0,3.09,ZW,1718929665
